Gujarat,GMERS Medical College, Sola, Ahmedabad
Gujarat,GMERS Medical College, Vadnagar, Mehsana
Gujarat,GMERS Medical College, Valsad
Goa,Goa Medical College, Panaji
West Bengal,Gouri Devi Institute of Medical Sciences and Hospital, Durgapur
Uttar Pradesh,Government Allopathic Medical College, Banda, UP
Tamil Nadu,Government Dharmapuri Medical College, Dharmapuri
Tamil Nadu,Government Erode Medical College & Hospital, Perundurai (Formerly IRT Perundurai Medical College)
Uttar Pradesh,Government Institute of Medical Sciences, Kasna, Greater Noida
Maharashtra,Government Medical College, Satara
Tamil Nadu,Government Medical College, Tiruppur
Chattisgarh,Government Medical College (Bharat Ratna Shri Atal Bihari Vajpyee Memorial Med. Col.), Rajnandgaon
Kerala,Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad
Uttarakhand,Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.), Haldwani
Tamil Nadu,Government Medical College & ESIC Hospital, Coimbatore, Tamil Nadu.
Orissa,Government Medical College & Hospital (Renamed as Bhima Bhoi Medical College & Hospital), Balangir
Orissa,Government Medical College & Hospital (Renamed as Fakir Mohan Medical College & Hospital), Balasore
Maharashtra,Government Medical College & Hospital, Baramati
Uttar Pradesh,Government Medical College & Super facility Hospital, Azamgarh
Tamil Nadu, Government Medical College, Kallakurichi
Tamil Nadu, Government Medical College, Krishnagiri
Tamil Nadu, Government Medical College, Nagapattinam
Tamil Nadu, Government Medical College, Ramanathapuram
Maharashtra,Government Medical College, Akola
Maharashtra,Government Medical College, Alibag
Punjab,Government Medical College, Amritsar
Andhra Pradesh,Government Medical College, Ananthapuram
Jammu & Kashmir,Government Medical College, Anantnag
Maharashtra,Government Medical College, Aurangabad
Uttar Pradesh,Government Medical College, Badaun, U.P.
Jammu & Kashmir,Government Medical College, Baramulla
Rajasthan,Government Medical College, Barmer
Bihar,Government Medical College, Bettiah
Telangana,Government Medical College, Bhadradri Kothagudem
Rajasthan,Government Medical College, Bharatpur, Rajasthan
Gujarat,Government Medical College, Bhavnagar
Rajasthan,Government Medical College, Bhilwara, Rajasthan
Chandigarh,Government Medical College, Chandigarh
Maharashtra,Government Medical College, Chandrapur
Madhya Pradesh,Government Medical College, Chhindwara, MP
Rajasthan,Government Medical College, Chittorgarh
Manipur,Government Medical College, Churachandpur
Rajasthan,Government Medical College, Churu
Madhya Pradesh,Government Medical College, Datia, MP
Rajasthan,Government Medical College, Dholpur
Rajasthan,Government Medical College, Dungarpur
Kerala,Government Medical College, Ernakulam
Uttar Pradesh,Government Medical College, Faizabad
Uttar Pradesh,Government Medical College, Firozabad
Maharashtra,Government Medical College, Gondia
Kerala,Government Medical College, Idukki.
Telangana,Government Medical College, Jagtial
Maharashtra,Government Medical College, Jalgaon
Jammu & Kashmir,Government Medical College, Jammu
Chattisgarh,Government Medical College, Kanker
Uttar Pradesh,Government Medical College, Kannauj
Tamil Nadu,Government Medical College, Karur
Jammu & Kashmir,Government Medical College, Kathua
Orissa,Government Medical College, Keonjhar,
Madhya Pradesh,Government Medical College, Khandwa, MP
Kerala,Government Medical College, Konni
Chattisgarh,Government Medical College, Korba
Rajasthan,Government Medical College, Kota
Kerala,Government Medical College, Kottayam
Kerala,Government Medical College, Kozhikode, Calicut
Maharashtra,Government Medical College, Latur
Telangana,Government Medical College, Mahabubabad
Telangana,Government Medical College, Mahabubnagar
Chattisgarh,Government Medical College, Mahasamund
Telangana,Government Medical College, Mancherial
Kerala,Government Medical College, Manjeri, Malapuram Dist.
Maharashtra,Government Medical College, Miraj
Gujarat,Government Medical College, Morbi
Telangana,Government Medical College, Nagarkurnool
Maharashtra,Government Medical College, Nagpur
Himachal Pradesh,Government Medical College, Nahan, Sirmour H.P.
Telangana,Government Medical College, Nalgonda
Tamil Nadu,Government Medical College, Namakkal
Maharashtra,Government Medical College, Nandurbar
Telangana,Government Medical College, Nizamabad
Tamil Nadu,Government Medical College, Omandurar
Maharashtra,Government Medical College, Osmanabad
Rajasthan,Government Medical College, Pali, Rajasthan
Gujarat,Government Medical College, Panchmahal Godhra
Kerala,Government Medical College, Parippally, Kollam
Punjab,Government Medical College, Patiala
Gujarat,Government Medical College, Porbandar
Tamil Nadu,Government Medical College, Pudukottai, Tamil Nadu
Jammu & Kashmir,Government Medical College, Rajouri, J&K
Telangana,Government Medical College, Ramagundam
Uttar Pradesh,Government Medical College, Rampur, Basti
Madhya Pradesh,Government Medical College, Ratlam
Telangana,Government Medical College, Sangareddy
Madhya Pradesh,Government Medical College, Shahdol, MP
Uttar Pradesh,Government Medical College, Shahjahanpur, UP
Madhya Pradesh,Government Medical College, Shivpuri, MP
Telangana,Government Medical College, Siddipet
Maharashtra,Government Medical College, Sindhudurg
Rajasthan,Government Medical College, Sirohi
Rajasthan,Government Medical College, Sri Ganganagar
Jammu & Kashmir,Government Medical College, Srinagar
Orissa,Government Medical College, Sundargarh
Gujarat,Government Medical College, Surat
Telangana,Government Medical College, Suryapet
Tamil Nadu,Government Medical College, The Nilgiris
Tamil Nadu,Government Medical College, Thiruvallur
Kerala,Government Medical College, Thrissur
Madhya Pradesh,Government Medical College, Vidisha, MP
Tamil Nadu,Government Medical College, Virudhunagar
Telangana,Government Medical College, Wanaparthy
Tamil Nadu,Government Medical College, Ariyalur
Tamil Nadu,Government Medical College, Dindigul
Andhra Pradesh,Government Siddhartha Medical College, Vijaywada
Tamil Nadu,Government Sivagangai Medical College, Sivaganga
Tamil Nadu,Government Thiruvannamalai Medical College, Thiruvannamalai
Tamil Nadu,Government Vellore Medical College, Vellore
Tamil Nadu,Government Villupuram Medical College, Villupuram
Jammu & Kashmir,Govt. Medical College, Doda, Kashmir
West Bengal,Govt. Medical College, Kolkata
Kerala,Govt. Medical College Pariyaram, Kannur (Prev. Known as Academy of Medical Sciences)
Tamil Nadu,Govt. Mohan Kumaramangalam Medical College, Salem- 30
Maharashtra,Grant Medical College, Mumbai
Andhra Pradesh,Great Eastern Medical School and Hospital, Srikakulam
Andhra Pradesh,GSL Medical College, Rajahmundry
Uttar Pradesh,GSVM Medical College, Kanpur
Gujarat,Gujarat Adani Institute of Medical Sciences, Bhuj
Karnataka,Gulbarga Institute of Medical Sciences, Gulbarga
Andhra Pradesh,Guntur Medical College, Guntur
Punjab,Guru Govind Singh Medical College, Faridkot
Maharashtra,H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital, Juhu, Mumbai
Delhi,Hamdard Institute of Medical Sciences & Research, New Delhi
Karnataka,Hassan Institute of Medical Sciences, Hassan
Karnataka,Haveri Institute of Medical Sciences, Haveri
Jharkhand,Hazaribagh Medical College, Hazaribagh
Uttar Pradesh,Heritage Institute of Medical Sciences, Varanasi
Orissa,Hi-Tech Medical College & Hospital, Bhubaneswar
Orissa,Hi-Tech Medical College & Hospital, Rourkela
Uttarakhand,Himalayan Institute of Medical Sciences, Dehradun
Uttar Pradesh,Hind Institute of Medical Sciences , Barabanki
Uttar Pradesh,Hind Institute of Medical Sciences, Sitapur
West Bengal,ICARE Institute of Medical Sciences & Research, Haldia, Purba Midanpore
Madhya Pradesh,Index Medical College Hospital & Research Centre, Indore
Maharashtra,Indian Institute of Medical Science & Research, Jalna
Bihar,Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna
Maharashtra,Indira Gandhi Medical College & Hospital, Nagpur
Pondicherry,Indira Gandhi Medical College & Research Institute, Puducherry
Himachal Pradesh,Indira Gandhi Medical College, Shimla
Tamil Nadu,Indira Medical College & Hospitals, Thiruvallur
Uttar Pradesh,Institute of Medical Sciences, BHU, Varansi
West Bengal,Institute of Postgraduate Medical Education & Research, Kolkata
Orissa,Instt. Of Medical Sciences & SUM Hospital, Bhubaneswar
Uttar Pradesh,Integral Institute of Medical Sciences & Research, Lucknow
West Bengal,IQ-City Medical College, Burdwan
Karnataka, Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC, Hubballi
West Bengal,Jagannath Gupta Institute of Medical Sciences & Hospital, Kolkata
Rajasthan,Jaipur National University Institute of Medical Sciences and Resarch Centre, Jagatpura, Jaipur
West Bengal, Jalpaiguri Government Medical College, Jalpaiguri
Bihar,Jannayak Karpoori Thakur Medical College & Hospital, Madhepura, Bihar
Pondicherry,Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry
Manipur,Jawaharlal Nehru Institute of Medical Sciences, Porompet, Imphal
Rajasthan,Jawaharlal Nehru Medical College, Ajmer
Uttar Pradesh,Jawaharlal Nehru Medical College, Aligarh
Karnataka,Jawaharlal Nehru Medical College, Belgaum
Bihar,Jawaharlal Nehru Medical College, Bhagalpur
Maharashtra,Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha
Rajasthan,Jhalawar Medical College, Jhalawar
Karnataka,JJM Medical College, Davangere
Assam,Jorhat Medical College & Hospital , Jorhat
Karnataka,JSS Medical College, Mysore
Kerala,Jubilee Mission Medical College & Research Institute, Thrissur
Tamil Nadu,K A P Viswanathan Government Medical College, Trichy
Karnataka,K S Hegde Medical Academy, Mangalore
Karnataka,K V G Medical College, Sullia
Uttar Pradesh,K.D. Medical College Hospital & Research Centre, Mathura
Telangana,Kakatiya Medical College, Warangal
Orissa,Kalinga Institute of Medical Sciences, Bhubaneswar
Haryana,Kalpana Chawala Govt. Medical College, Karnal, Haryana
Telangana,Kamineni Academy of Medical Sciences & Research Center, Hyderabad
Telangana,Kamineni Institute of Medical Sciences, Narketpally
Karnataka,Kanachur Institute of Medical Sciences, Mangalore
Kerala,Kannur Medical College, Kannur
Tamil Nadu,KanyaKumari Government Medical College, Asaripallam
Karnataka,Karnataka Institute of Medical Sciences, Hubballi
Tamil Nadu,Karpaga Vinayaga Institute of Medical Sciences, Maduranthagam
Tamil Nadu,Karpagam Faculty of Medical Sciences & Research, Coimbatore
Kerala,Karuna Medical College, Palakkad
Karnataka,Karwar Institute of Medical Sciences, Karwar
Karnataka,Kasturba Medical College, Mangalore
